Accessionid,MC_length
7000,151.152
6897,146.527
6987,125.506
6988,163.375
6990,217.307
6898,226.74
6992,127.528
6994,164.225
7014,156.708
8256,172.485
8258,183.346
8259,159.462
7002,217.338
6899,223.757
7015,214.843
8265,228.717
7026,213.527
5837,157.223
6903,212.866
6904,150.786
8270,186.997
7004,201.683
7031,160.113
8271,197.207
5719,236.309
6906,160.552
7062,185.513
8274,177.694
7071,154.753
5723,137.485
6907,156.256
6730,206.645
7081,206.069
5729,164.358
6909,194.149
7092,165.712
5731,185.985
6910,203.771
86,159.838
6911,176.507
7094,177.785
8233,226.187
7098,158.216
7102,238.541
8284,188.469
8285,207.206
6008,130.063
9302,153.326
6915,143.642
461,186.423
5736,247.623
8290,220.923
7123,155.01
6916,239.799
8215,155.882
936,149.877
5742,151.231
6919,164.833
8296,180.089
7143,182.865
7147,188.694
6920,153.041
8300,161.967
6922,141.508
8214,151.091
7163,199.852
7166,187.4
8304,157.434
5745,214.475
7172,193.818
6923,151.483
6924,152.31
8310,214.31
8236,219.773
8311,208.835
8312,217.704
7176,154.72
7181,139.601
7424,142.16
8313,168.301
7178,226.127
8314,199.16
8420,238.792
7192,149.585
6926,140.306
7199,144.072
6928,214.741
6929,184.152
7201,215.848
7205,199.92
5751,163.987
6930,224.398
6931,208.147
7210,175.331
96,196.783
5752,227.262
8323,154.174
149,170.306
6932,188.846
7224,241.205
7231,179.727
8325,227.975
8430,211.719
6933,166.141
8329,248.98
7242,253.878
7520,167.75
8334,172.217
6936,182.142
7246,214.347
7255,254.268
204,174.924
224,184.658
8337,171.228
1874,169.199
7244,243.893
236,229.924
7522,217.95
6937,212.785
6938,225.341
6939,161.007
6940,169.746
8343,175.135
6942,183.286
6943,206.09
6944,189.65
7275,162.371
7268,217.858
8348,158.472
7262,194.117
7276,169.983
7280,236.605
7519,139.289
7282,160.588
7287,250.61
6946,151.33
7291,158.312
262,228.715
2171,151.713
8354,250.881
7297,149.421
8243,191.77
7299,138.494
7300,221.615
7307,180.567
7309,208.718
7306,158.191
7310,164.985
6951,162.619
6956,140.088
6958,166.576
266,263.293
8366,267.706
6959,152.896
6960,168.114
7317,160.132
7525,221.203
7320,147.01
8374,153.049
8378,200.572
7330,148.572
6961,187.273
8245,162.391
7344,198.977
7331,177.912
6962,198.922
7337,187.974
6963,157.92
6966,164.907
6967,147.118
8387,191.288
2290,156.007
8388,159.198
6969,155.796
7352,205.875
7353,193.147
6243,159.316
9165,215.528
6970,201.943
7372,183.462
6972,161.097
8395,137.876
7351,202.49
7378,126.534
6973,146.317
9308,190.951
6975,158.577
7382,205.174
6977,222.512
394,171.223
6978,271.742
7477,179.359
7404,201.519
6979,189.218
100000,227.285
2320,151.945
6980,160.7
6982,158.856
6984,207.28
6985,215.055
7418,137.94
