Accessionid,MZ_length
7000,168.22
6897,168.216
6987,132.287
6988,181.694
6990,253.842
6898,227.676
6992,147.439
6994,159.068
7014,167.305
8256,181.367
8258,185.134
8259,167.849
7002,215.977
6899,230.195
7015,218.964
8265,222.93
7026,231.985
5837,162.057
6903,223.804
6904,155.212
8270,197.097
7004,219.477
7031,183.392
8271,208.204
5719,251.561
6906,144.982
7062,171.398
8274,178.762
7071,137.117
5723,146.267
6907,159.088
6730,208.337
7081,203.852
5729,167.851
6909,211.989
7092,173.83
5731,168.73
6910,233.821
86,173.429
6911,193.976
7094,188.777
8233,234.097
7098,188.869
7102,238.259
8284,204.312
8285,224.926
6008,153.643
9302,157.251
6915,147.573
461,188.989
5736,262.851
8290,255.037
7123,148.991
6916,242.646
8215,158.449
936,158.954
5742,158.677
6919,167.738
8296,187.748
7143,205.988
7147,208.225
6920,160.781
8300,183.928
6922,147.118
8214,160.835
7163,223.018
7166,221.321
8304,164.992
5745,218.997
7172,218.265
6923,159.657
6924,169.158
8310,224.447
8236,227.658
8311,239.217
8312,231.495
7176,148.711
7181,157.746
7424,151.233
8313,182.694
7178,231.414
8314,218.844
8420,231.116
7192,157.036
6926,149.179
7199,146.118
6928,226.648
6929,192.867
7201,237.425
7205,235.482
5751,160.2
6930,239.462
6931,209.504
7210,178.82
96,235.109
5752,240.587
8323,182.864
149,166.643
6932,211.893
7224,223.883
7231,173.4
8325,211.942
8430,197.739
6933,166.665
8329,232.716
7242,235.445
7520,160.87
8334,165.501
6936,182.399
7246,197.233
7255,207.052
204,174.099
224,173.281
8337,176.867
1874,185.823
7244,265.75
236,235.037
7522,225.003
6937,219.401
6938,210.511
6939,170.817
6940,181.335
8343,180.05
6942,193.976
6943,212.464
6944,187.039
7275,173.175
7268,216.955
8348,173.4
7262,198.709
7276,184.166
7280,237.229
7519,145.727
7282,178.117
7287,250.538
6946,179.575
7291,173.431
262,228.103
2171,161.247
8354,243.746
7297,181.224
8243,201.257
7299,165.962
7300,226.011
7307,197.949
7309,212.571
7306,178.582
7310,161.6
6951,159.943
6956,150.246
6958,178.277
266,259.226
8366,246.288
6959,175.392
6960,181.057
7317,170.331
7525,211.289
7320,144.12
8374,142.953
8378,202.736
7330,146.716
6961,203.507
8245,159.482
7344,200.668
7331,172.952
6962,200.747
7337,202.031
6963,158.718
6966,161.945
6967,153.871
8387,198.984
2290,152.532
8388,170.495
6969,162.949
7352,202.928
7353,192.853
6243,151.726
9165,194.124
6970,185.62
7372,198.774
6972,170.399
8395,146.408
7351,207.938
7378,132.703
6973,157.809
9308,182.857
6975,154.381
7382,198.208
6977,219.896
394,170.322
6978,245.087
7477,152.595
7404,199.887
6979,195.422
100000,212.079
2320,168.131
6980,169.433
6982,144.88
6984,219.401
6985,232.131
7418,174.407
